_id,Fecha_Emision,Ano_Proceso,Metodo de Pago,Cuotas Permiso,Codigo_SII,Comuna_Propietario,Comuna_Permiso,Valor_Contado,Total_a_Pagar,Ano_Fabricacion,TipoVehiculo,Marca,Modelo,Cilindrada,Equipamiento,Combustible,Transmision,Tonelaje,Comuna_Anterior,Fecha_Vencimiento
24,2026-03-25T00:00:00,2026,PRESENCIAL,Total,CT166005408,RIO IBAÑEZ,RIO IBANEZ,34876,34876,2008,CAMIONETA,MITSUBISHI,L200 D/C TD WORK CR 4X2,2500,Full,Dies,Mec,0,COYHAIQUE,2027-03-31T00:00:00
25,2026-03-27T00:00:00,2026,PRESENCIAL,Total,CT235003797,RIO IBAÑEZ,RIO IBANEZ,34876,34876,1997,CAMIONETA,TOYOTA,HILUX C/S STD,2400,Norm,Benc,Mec,0,RIO IBAÑEZ,2027-03-31T00:00:00
26,2026-05-13T00:00:00,2026,PRESENCIAL,Total,SU166000496,COYHAIQUE,RIO IBANEZ,33715,38170,1996,STATION WAGON,MITSUBISHI,MONTERO 3.0 IE,3000,Full,Benc,Mec,0,RIO IBAÑEZ,2026-03-31T00:00:00
27,2026-05-13T00:00:00,2026,PRESENCIAL,Total,SU166000496,COYHAIQUE,RIO IBANEZ,34876,35524,1996,STATION WAGON,MITSUBISHI,MONTERO 3.0 IE,3000,Full,Benc,Mec,0,RIO IBAÑEZ,2027-03-31T00:00:00
28,2026-03-25T00:00:00,2026,PRESENCIAL,Total,CT166004508,RIO IBAÑEZ,RIO IBANEZ,34876,34876,2008,CAMIONETA,MITSUBISHI,L200,2500,Norm,Diés,Mec,0,RIO IBAÑEZ,2027-03-31T00:00:00
29,2026-03-16T00:00:00,2026,ONLINE,Total,SD166005808,COYHAIQUE,RIO IBANEZ,34876,34876,2008,AUTOMOVIL,MITSUBISHI,LANCER SIN VERSION,1600,Full,Benc,Mec,0,RIO IBAÑEZ,2027-03-31T00:00:00
30,2026-03-13T00:00:00,2026,PRESENCIAL,Total,CT166001496,RIO IBAÑEZ,RIO IBANEZ,34876,34876,1996,STATION WAGON,MITSUBISHI,CHALLENGER 4X4 2.5,2500,Norm,Dies,Mec,0,RIO IBAÑEZ,2027-03-31T00:00:00
31,2026-04-12T00:00:00,2026,ONLINE,Total,CT166004608,RIO IBAÑEZ,RIO IBANEZ,34876,34968,2008,CAMIONETA,MITSUBISHI,L200,2500,Equi,Dies,Mec,0,RIO IBAÑEZ,2027-03-31T00:00:00
32,2026-03-28T00:00:00,2026,ONLINE,Total,CT176005500,COYHAIQUE,RIO IBANEZ,34876,34876,2000,CAMIONETA,NISSAN,ATLAS 4X4,3200,Norm,Dies,Mec,0,RIO IBAÑEZ,2027-03-31T00:00:00
33,2026-03-27T00:00:00,2026,PRESENCIAL,Total,CT050026008,RIO IBAÑEZ,RIO IBANEZ,34876,34876,2008,CAMIONETA,CHEVROLET,LUV,3000,Full,Diés,Mec,0,RIO IBAÑEZ,2027-03-31T00:00:00
34,2026-03-05T00:00:00,2026,PRESENCIAL,Total,HB111006008,RIO IBAÑEZ,RIO IBANEZ,34876,34876,2008,AUTOMOVIL,HYUNDAI,ACCENT,1400,Equi,Benc,Mec,0,RIO IBAÑEZ,2027-03-31T00:00:00
35,2026-03-20T00:00:00,2026,ONLINE,Total,SU064001409,PEÑALOLEN,RIO IBANEZ,47339,47339,2009,STATION WAGON,DODGE,NITRO SLT 4X4 2.8 AUT,2800,Full,Dies,Aut,0,PEÑALOLEN,2027-03-31T00:00:00
36,2026-04-02T00:00:00,2026,ONLINE,Total,HB050006008,PROVIDENCIA,RIO IBANEZ,34876,34891,2008,STATION WAGON,CHEVROLET,ASTRA,1800,Full,Benc,Mec,0,RIO IBAÑEZ,2027-03-31T00:00:00
37,2026-03-05T00:00:00,2026,ONLINE,Total,HB235002808,PIRQUE,RIO IBANEZ,34876,34876,2008,AUTOMOVIL,TOYOTA,YARIS,1300,Equi,Benc,Aut,0,RIO IBAÑEZ,2027-03-31T00:00:00
38,2026-04-23T00:00:00,2026,PRESENCIAL,Total,SU059009908,RIO IBAÑEZ,RIO IBANEZ,33732,37669,2008,STATION WAGON,DAIHATSU,TERIOS,1500,Full,Benc,Aut,0,ÑUÑOA,2026-03-31T00:00:00
39,2026-04-23T00:00:00,2026,PRESENCIAL,Total,SU059009908,RIO IBAÑEZ,RIO IBANEZ,34876,35054,2008,STATION WAGON,DAIHATSU,TERIOS,1500,Full,Benc,Aut,0,RIO IBAÑEZ,2027-03-31T00:00:00
40,2026-03-23T00:00:00,2026,PRESENCIAL,Total,SU160000896,RIO IBAÑEZ,RIO IBANEZ,34876,34876,1996,STATION WAGON,MAZDA,626 GLX,2000,Full,Benc,Aut,0,RIO IBAÑEZ,2027-03-31T00:00:00
41,2026-03-09T00:00:00,2026,PRESENCIAL,Total,VN166003708,COYHAIQUE,RIO IBANEZ,32333,40542,2008,STATION WAGON,MITSUBISHI,MONTERO,2500,Full,Dies,Aut,0,RIO IBAÑEZ,2025-03-31T00:00:00
42,2026-03-09T00:00:00,2026,PRESENCIAL,Total,VN166003708,COYHAIQUE,RIO IBANEZ,33715,37307,2008,STATION WAGON,MITSUBISHI,MONTERO,2500,Full,Dies,Aut,0,RIO IBAÑEZ,2026-03-31T00:00:00
43,2026-03-09T00:00:00,2026,PRESENCIAL,Total,VN166003708,COYHAIQUE,RIO IBANEZ,37045,37045,2008,STATION WAGON,MITSUBISHI,MONTERO,2500,Full,Dies,Aut,0,RIO IBAÑEZ,2027-03-31T00:00:00
44,2026-05-19T00:00:00,2026,ONLINE,Total,CT166001495,RIO IBAÑEZ,RIO IBANEZ,34876,35569,1995,CAMIONETA,MITSUBISHI,L200 D/C 4WD DIESEL,2500,Norm,Dies,Mec,0,RIO IBAÑEZ,2027-03-31T00:00:00
45,2026-03-31T00:00:00,2026,PRESENCIAL,Total,CT176023808,RIO IBAÑEZ,RIO IBANEZ,34876,34876,2008,CAMIONETA,NISSAN,TERRANO,2500,Norm,Dies,Mec,0,RIO IBAÑEZ,2027-03-31T00:00:00
46,2026-03-31T00:00:00,2026,ONLINE,Total,CT160008409,RIO IBAÑEZ,RIO IBANEZ,34876,34876,2009,CAMIONETA,MAZDA,BT50 DC 4X2 DX,2500,Full,Dies,Mec,0,RIO IBAÑEZ,2027-03-31T00:00:00
