id,fecha_emision,ano_proceso,metodo_de_pago,cuotas_permiso,codigo_sii,comuna_propietario,comuna_permiso,valor_contado,total_a_pagar,ano_fabricacion,tipo_vehiculo,marca,modelo,cilindrada,combustible,transmision,comuna_anterior,fecha_vencimiento
28,2026-03-25,2026,PRESENCIAL,Total,CT166004508,RIO IBANEZ,RIO IBANEZ,34876,34876,2008,CAMIONETA,MITSUBISHI,L200,2500.0,DIES,MEC,RIO IBAÑEZ,2027-03-31
29,2026-03-16,2026,ONLINE,Total,SD166005808,COYHAIQUE,RIO IBANEZ,34876,34876,2008,AUTOMOVIL,MITSUBISHI,LANCER SIN VERSION,1600.0,BENC,MEC,RIO IBAÑEZ,2027-03-31
30,2026-03-13,2026,PRESENCIAL,Total,CT166001496,RIO IBANEZ,RIO IBANEZ,34876,34876,1996,STATION WAGON,MITSUBISHI,CHALLENGER 4X4 2.5,2500.0,DIES,MEC,RIO IBAÑEZ,2027-03-31
31,2026-04-12,2026,ONLINE,Total,CT166004608,RIO IBANEZ,RIO IBANEZ,34876,34968,2008,CAMIONETA,MITSUBISHI,L200,2500.0,DIES,MEC,RIO IBAÑEZ,2027-03-31
32,2026-03-28,2026,ONLINE,Total,CT176005500,COYHAIQUE,RIO IBANEZ,34876,34876,2000,CAMIONETA,NISSAN,ATLAS 4X4,3200.0,DIES,MEC,RIO IBAÑEZ,2027-03-31
33,2026-03-27,2026,PRESENCIAL,Total,CT050026008,RIO IBANEZ,RIO IBANEZ,34876,34876,2008,CAMIONETA,CHEVROLET,LUV,3000.0,DIES,MEC,RIO IBAÑEZ,2027-03-31
34,2026-03-05,2026,PRESENCIAL,Total,HB111006008,RIO IBANEZ,RIO IBANEZ,34876,34876,2008,AUTOMOVIL,HYUNDAI,ACCENT,1400.0,BENC,MEC,RIO IBAÑEZ,2027-03-31
35,2026-03-20,2026,ONLINE,Total,SU064001409,PENALOLEN,RIO IBANEZ,47339,47339,2009,STATION WAGON,DODGE,NITRO SLT 4X4 2.8 AUT,2800.0,DIES,AUT,PEÑALOLEN,2027-03-31
36,2026-04-02,2026,ONLINE,Total,HB050006008,PROVIDENCIA,RIO IBANEZ,34876,34891,2008,STATION WAGON,CHEVROLET,ASTRA,1800.0,BENC,MEC,RIO IBAÑEZ,2027-03-31
37,2026-03-05,2026,ONLINE,Total,HB235002808,PIRQUE,RIO IBANEZ,34876,34876,2008,AUTOMOVIL,TOYOTA,YARIS,1300.0,BENC,AUT,RIO IBAÑEZ,2027-03-31
38,2026-04-23,2026,PRESENCIAL,Total,SU059009908,RIO IBANEZ,RIO IBANEZ,33732,37669,2008,STATION WAGON,DAIHATSU,TERIOS,1500.0,BENC,AUT,ÑUÑOA,2026-03-31
39,2026-04-23,2026,PRESENCIAL,Total,SU059009908,RIO IBANEZ,RIO IBANEZ,34876,35054,2008,STATION WAGON,DAIHATSU,TERIOS,1500.0,BENC,AUT,RIO IBAÑEZ,2027-03-31
40,2026-03-23,2026,PRESENCIAL,Total,SU160000896,RIO IBANEZ,RIO IBANEZ,34876,34876,1996,STATION WAGON,MAZDA,626 GLX,2000.0,BENC,AUT,RIO IBAÑEZ,2027-03-31
41,2026-03-09,2026,PRESENCIAL,Total,VN166003708,COYHAIQUE,RIO IBANEZ,32333,40542,2008,STATION WAGON,MITSUBISHI,MONTERO,2500.0,DIES,AUT,RIO IBAÑEZ,2025-03-31
42,2026-03-09,2026,PRESENCIAL,Total,VN166003708,COYHAIQUE,RIO IBANEZ,33715,37307,2008,STATION WAGON,MITSUBISHI,MONTERO,2500.0,DIES,AUT,RIO IBAÑEZ,2026-03-31
43,2026-03-09,2026,PRESENCIAL,Total,VN166003708,COYHAIQUE,RIO IBANEZ,37045,37045,2008,STATION WAGON,MITSUBISHI,MONTERO,2500.0,DIES,AUT,RIO IBAÑEZ,2027-03-31
44,2026-05-19,2026,ONLINE,Total,CT166001495,RIO IBANEZ,RIO IBANEZ,34876,35569,1995,CAMIONETA,MITSUBISHI,L200 D/C 4WD DIESEL,2500.0,DIES,MEC,RIO IBAÑEZ,2027-03-31
45,2026-03-31,2026,PRESENCIAL,Total,CT176023808,RIO IBANEZ,RIO IBANEZ,34876,34876,2008,CAMIONETA,NISSAN,TERRANO,2500.0,DIES,MEC,RIO IBAÑEZ,2027-03-31
46,2026-03-31,2026,ONLINE,Total,CT160008409,RIO IBANEZ,RIO IBANEZ,34876,34876,2009,CAMIONETA,MAZDA,BT50 DC 4X2 DX,2500.0,DIES,MEC,RIO IBAÑEZ,2027-03-31
47,2026-03-28,2026,ONLINE,Total,SU235006608,RIO IBANEZ,RIO IBANEZ,41412,34876,2008,JEEP,TOYOTA,FJ CRUSIER,4000.0,BENC,AUT,RIO IBAÑEZ,2027-03-31
48,2026-03-24,2026,PRESENCIAL,Total,CT166004009,RIO IBANEZ,RIO IBANEZ,41777,34876,2009,CAMIONETA,MITSUBISHI,L200,2500.0,DIES,AUT,COYHAIQUE,2027-03-31
49,2026-05-28,2026,PRESENCIAL,Total,SIN_CODIGO,COYHAIQUE,RIO IBANEZ,68923,74027,2000,CAMION,MITSUBISHI,CANTER,3625.0,BENC,MEC,RIO IBAÑEZ,2026-09-30
50,2026-03-28,2026,ONLINE,Total,VN235004308,COYHAIQUE,RIO IBANEZ,35961,34876,2008,STATION WAGON,TOYOTA,4RUNNER LUJO 62VOON 3P,4000.0,BENC,AUT,RIO IBAÑEZ,2027-03-31
51,2026-04-06,2026,ONLINE,1ra. Cuota,SU229019008,RIO IBANEZ,RIO IBANEZ,34876,17442,2008,STATION WAGON,SUZUKI,GRAND VITARA,1600.0,BENC,MEC,RIO IBAÑEZ,2026-08-31
52,2026-03-28,2026,ONLINE,Total,SU229019008,ANTOFAGASTA,RIO IBANEZ,34876,34876,2008,STATION WAGON,SUZUKI,GRAND VITARA,1600.0,BENC,MEC,RIO IBAÑEZ,2027-03-31
53,2026-03-16,2026,PRESENCIAL,Total,CT050026108,RIO IBANEZ,RIO IBANEZ,34876,34876,2008,CAMIONETA,CHEVROLET,LUV,3500.0,BENC,MEC,RIO IBAÑEZ,2027-03-31
54,2026-04-02,2026,ONLINE,Total,HB111004608,LO BARNECHEA,RIO IBANEZ,34876,34891,2008,AUTOMOVIL,HYUNDAI,GETZ,1400.0,BENC,MEC,RIO IBAÑEZ,2027-03-31
